id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,set_name,trait,outcome_file,harmonised_snps,MR_OR,MR_OR_lower_95CI,MR_OR_upper_95CI,nominal_significant,overlap_snps
Lrdl8M,b2G4UN,outcome,exposure,Inverse variance weighted,2.0,-0.7048549845962687,0.40821970169911187,0.08422946778448748,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,GDF15,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,2,0.4941802328061957,0.22202493137453455,1.099939997659183,False,2
TZURKg,BAVGJq,outcome,exposure,Inverse variance weighted,2.0,-0.3721935984294955,0.24260573632605234,0.12499274686420399,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,GDF15,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,2,0.6892207975432898,0.42839875711914865,1.1088391361371104,False,2
oRIf1M,vluVZs,outcome,exposure,Inverse variance weighted,2.0,-0.47063154394243367,0.3343591961766131,0.15926058913377855,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,GDF15,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,2,0.6246076765002997,0.3243359010955725,1.2028725411687975,False,2
aR1Pus,nG1udT,outcome,exposure,Inverse variance weighted,5.0,0.21641423387840014,0.2039900527451058,0.28873270474605056,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,5,1.241616592147517,0.8324298961501018,1.8519418500294156,False,5
aR1Pus,nG1udT,outcome,exposure,Weighted median,5.0,0.19828039351501037,0.2037465684674656,0.3304679756946489,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,5,1.2193042308941213,0.817861002279954,1.817793981289997,False,5
aR1Pus,nG1udT,outcome,exposure,MR Egger,5.0,0.14954397578978937,0.22054932886590506,0.5463532607066551,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,5,1.1613045389733951,0.7537212239973995,1.7892931621159482,False,5
aR1Pus,nG1udT,outcome,exposure,Simple mode,5.0,0.9265193727822019,1.602191772109067,0.5940700033862427,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,5,2.5257028306864555,0.10928714524499668,58.37076972444408,False,5
RqAzOd,2e36lX,outcome,exposure,Simple mode,7.0,0.4520694929020239,0.8758024590482901,0.6241943670051953,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,7,1.5715611571285124,0.28237951164345176,8.74640109766045,False,7
RqAzOd,2e36lX,outcome,exposure,Inverse variance weighted,7.0,-0.0764376615497782,0.16948377874489207,0.6519875191162225,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,7,0.9264106634938366,0.6645628201072501,1.2914305336801484,False,7
RqAzOd,2e36lX,outcome,exposure,Weighted median,7.0,-0.07079076951418971,0.17536631574565997,0.6864526820131909,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,7,0.9316568027417059,0.660664753632882,1.3138046086490929,False,7
RqAzOd,2e36lX,outcome,exposure,MR Egger,7.0,-0.07376328802390016,0.1838807817150995,0.7048807884244803,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,7,0.9288915475730635,0.6478023658084078,1.331948681718572,False,7
Ifc84U,dLaw7r,outcome,exposure,Inverse variance weighted,6.0,-0.04187387334752538,0.173210704350625,0.8089730537994646,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,6,0.9589907272352057,0.682927309129971,1.3466487613370335,False,6
Ifc84U,dLaw7r,outcome,exposure,Simple mode,6.0,0.15474526723434767,0.6426333264362915,0.8192734056598623,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,6,1.1673605582440916,0.33127181323286325,4.113633030366043,False,6
Ifc84U,dLaw7r,outcome,exposure,Weighted median,6.0,-0.02326213791505163,0.17811350739088258,0.8960894604123135,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,6,0.9770063397973132,0.6891029412351583,1.3851941863623585,False,6
Ifc84U,dLaw7r,outcome,exposure,MR Egger,6.0,-0.017568949815772412,0.18759990030741466,0.9298896683673643,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,6,0.9825844843102043,0.6802705077381698,1.41924757552293,False,6
aR1Pus,nG1udT,outcome,exposure,Weighted mode,5.0,0.19968927530199032,2.1927805071421798,0.9318177264156304,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_01/endometrial_cancer_mr_ready.csv,5,1.221023297114005,0.016603188583918852,89.79587773514638,False,5
RqAzOd,2e36lX,outcome,exposure,Weighted mode,7.0,-0.060553291411135746,2.3453300513867363,0.9802392626533285,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_03/endometrial_cancer_mr_ready.csv,7,0.9412436074817627,0.00949110540482806,93.34418814636821,False,7
Ifc84U,dLaw7r,outcome,exposure,Weighted mode,6.0,-0.012013266016906776,2.1736356416697196,0.9958039993457087,Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02,SHBG,/content/drive/MyDrive/UM_WQF7023/MRDRP-main/backend_work/mr_outputs/outcome_comparison/mr_ready_outcomes/Artesunate_EndometrialCancer_GRCh38_OutcomeCompare_02/endometrial_cancer_mr_ready.csv,6,0.9880586051728262,0.013949116253995881,69.98721564001664,False,6
